[7l----system---- ----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system-- -most-expensive- --most-expensive- ------memory-usage----- --io/total-
     time     |usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw |  cpu process   |  memory process | used  buff  cach  free| read  writ
03-12 10:10:11|  8   6  85   1   0   0| 184k  122k|   0     0 |   0     0 |1058    13k|gnome-shell  2.0|java        1202M|5853M 6380k  414M 1660M|12.7  2.51 
03-12 10:10:21| 10   7  83   0   0   0|  28k   17k|4928B   84B|   0     0 |1223    19k|gnome-shell   12|java        1202M|5858M 6664k  418M 1651M|7.00  0.50 
03-12 10:10:31| 10   7  80   3   0   0|1296k 7782B|4212B   26B|   0     0 |1584    20k|gnome-shell   11|java        1202M|5849M 12.2M  426M 1647M| 192  0.40 
03-12 10:10:41| 10   7  83   1   0   0| 233k  160k|3679B   13B|   0     0 |1457    20k|gnome-shell   11|java        1202M|5851M 14.3M  425M 1642M|58.1  7.20 
03-12 10:10:51| 10   7  81   1   0   0| 601k   30k|3748B   11B|   0     0 |1471    20k|gnome-shell   11|java        1202M|5851M 15.9M  431M 1635M|54.3  2.80 
03-12 10:11:01| 10   7  82   1   0   0|  94k   16k|3808B   21B|   0     0 |1372    19k|gnome-shell   12|java        1202M|5859M 16.5M  432M 1626M|15.1  1.90 
03-12 10:11:11| 10   7  83   0   0   0|  80k  128k|2992B  104B|   0     0 |1327    19k|gnome-shell   11|java        1202M|5860M 17.1M  432M 1624M|17.1  5.60 
03-12 10:11:21| 12   7  80   1   0   0|  63k   34k|3951B   30B|   0     0 |1683    21k|gnome-shell   12|java        1202M|5873M 17.3M  433M 1610M|10.6  1.60 
03-12 10:11:31| 10   8  82   0   0   0|  14k   23k|3450B   29B|   0     0 |1530    20k|gnome-shell   12|java        1202M|5873M 17.4M  434M 1608M|3.50  2.10 
03-12 10:11:41| 11   8  81   1   0   0| 198k  117k|2968B   16B|   0     0 |1476    19k|gnome-shell   11|java        1202M|5864M 19.0M  436M 1614M|37.0  3.30 
03-12 10:11:51| 12   8  80   0   0   0|  11k   77k|3236B    0 |   0     0 |1438    19k|gnome-shell   12|java        1202M|5866M 19.1M  437M 1611M|2.20  11.1 
03-12 10:12:01| 13   8  79   0   0   0|  35k   15k|3439B    0 |   0     0 |1617    20k|gnome-shell   12|java        1202M|5882M 19.1M  437M 1595M|1.60  1.90 
03-12 10:12:11| 11   7  81   0   0   0|  28k   87k|3298B   70B|   0     0 |1409    19k|gnome-shell   12|java        1202M|5871M 19.1M  438M 1606M|1.40  0.80 
03-12 10:12:21| 12   8  78   2   0   0| 822k   68k|3196B    0 |   0     0 |1942    20k|gnome-shell   12|java        1202M|4977M 19.3M  359M 2577M|41.0  8.40 
03-12 10:12:31| 10   7  83   0   0   0|  14k 9421B|4072B  372B|   0     0 |1477    19k|gnome-shell   12|java        1202M|4975M 19.5M  359M 2580M|3.60  1.10 
03-12 10:12:41| 10   7  82   1   0   0| 252k  102k|4108B    0 |   0     0 |1405    19k|gnome-shell   12|java        1202M|4974M 20.7M  361M 2578M|17.4  1.20 
03-12 10:12:51| 10   7  83   0   0   0|  39k   74k|2898B    0 |   0     0 |1350    19k|gnome-shell   12|java        1202M|4971M 20.9M  361M 2580M|4.60  1.50 
03-12 10:13:01| 11   7  81   1   0   0| 262k   24k|2943B  597B|   0     0 |1493    19k|gnome-shell   12|java        1202M|4974M 21.7M  363M 2574M|27.5  3.20 
03-12 10:13:11| 10   7  83   0   0   0|  16k  171k|3187B    0 |   0     0 |1562    19k|gnome-shell   12|java        1202M|4920M 21.9M  364M 2627M|3.60  3.70 
03-12 10:13:21| 10   7  81   2   0   0|1166k   40k|4091B    0 |   0     0 |1551    19k|gnome-shell   12|java        1202M|4767M 25.6M  355M 2785M| 118  0.90 
03-12 10:13:31| 29  10  41  20   0   0|4871k   33k|3205B   59B|   0     0 |4637    25k|gnome-shell   11|java        1202M|5534M 34.9M  425M 1940M| 342  1.40 
03-12 10:13:41| 16   8  67   9   0   0| 920k  177k| 135k 7123B|   0     0 |3387    24k|gnome-shell   12|java        1202M|5403M 35.8M  440M 2054M|81.1  14.3 
03-12 10:13:51| 10   7  82   1   0   0| 300k   21k|2680B    5B|   0     0 |1456    21k|gnome-shell   12|java        1202M|5409M 37.6M  442M 2044M|49.7  0.80 
03-12 10:14:01| 10   7  81   1   0   0| 244k   22k|2542B   84B|   0     0 |1296    19k|gnome-shell   12|java        1202M|5341M 39.6M  443M 2109M|56.3  1.30 
03-12 10:14:11| 10   7  82   0   0   0|1638B  146k|2856B    0 |   0     0 |1415    20k|gnome-shell   12|java        1202M|5355M 39.6M  444M 2094M|0.10  1.20 
03-12 10:14:21| 11   7  78   3   0   0|5250k  202k|  11k 1246B|   0     0 |1620    20k|gnome-shell   12|java        1202M|5377M 40.4M  496M 2019M| 107  11.2 
03-12 10:14:31| 10   7  82   0   0   0|9421B   26k|3395B   81B|   0     0 |1413    19k|gnome-shell   12|java        1202M|5331M 40.5M  498M 2064M|1.40  1.60 
03-12 10:14:41| 11   7  82   0   0   0|7373B  180k|  10k 1589B|   0     0 |1478    20k|gnome-shell   12|java        1202M|5335M 40.5M  497M 2060M|1.80  2.00 
03-12 10:14:51| 10   7  83   0   0   0|  44k  291k|4741B  382B|   0     0 |1236    20k|gnome-shell   12|java        1202M|5342M 40.6M  498M 2052M|1.60  12.5 
03-12 10:15:01| 12   7  79   1   0   0| 222k  267k|  74k 2624B|   0     0 |1363    19k|gnome-shell   12|java        1202M|5390M  736k  342M 2200M|16.3  4.40 
03-12 10:15:11|  9   7  76   8   0   0| 867k  467k|2891B   40B|   0     0 |1323    18k|gnome-shell   11|java        1202M|5367M 1444k  341M 2224M|75.2  16.9 
03-12 10:15:21|  9   7  84   0   0   0|  81k  127k|3652B  279B|   0     0 |1140    19k|gnome-shell   12|java        1202M|5354M 2172k  342M 2235M|18.2  2.70 
03-12 10:15:31| 12   7  79   2   0   0| 317k  340k|3701B  117B|   0     0 |1279    19k|gnome-shell   12|java        1202M|5378M 4060k  345M 2207M|45.8  7.70 
03-12 10:15:41| 10   7  83   0   0   0|  12k  188k|2617B   72B|   0     0 |1117    18k|gnome-shell   11|java        1202M|5380M 4200k  345M 2205M|3.00  7.90 
03-12 10:15:51| 11   7  80   2   0   0|1444k  210k|2513B   65B|   0     0 |1322    20k|gnome-shell   11|java        1202M|5383M 5204k  358M 2187M|64.4  4.10 
03-12 10:16:01| 18   7  73   2   0   0| 303k  157k|7317B  835B|   0     0 |1540    21k|gnome-shell   12|java        1202M|5391M 7128k  360M 2174M|34.4  2.80 
